Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-40.581,3, 0.2619686,0.035515,15084, Foreign,
12-21-2022-22-27-40.781,3, 0.1183154,0.040097,15084, Foreign,
12-21-2022-22-27-40.882,3, 0.1611993,0.036191,15084, Foreign,
12-21-2022-22-27-41.083,3, 0.1389524,0.045897,15084, Foreign,
12-21-2022-22-27-41.183,3, 0.1310297,0.04303,15084, Foreign,
12-21-2022-22-27-41.284,3, 0.1246991,0.042811,15084, Foreign,
12-21-2022-22-27-40.982,3, 0.4536969,0.036124,15084, Foreign,
12-21-2022-22-27-40.479,3, 1.1353402,0.043228,6348, Foreign,
12-21-2022-22-27-41.485,3, 0.1840665,0.039125,15084, Foreign,
12-21-2022-22-27-40.379,3, 1.3935852,0.035956,6348, Foreign,
12-21-2022-22-27-41.384,3, 0.39741,0.038657,15084, Foreign,
12-21-2022-22-27-41.686,3, 0.1437158,0.04181,15084, Foreign,
12-21-2022-22-27-41.887,3, 0.1462091,0.047863,15084, Foreign,
12-21-2022-22-27-41.787,3, 0.4002469,0.044006,15084, Foreign,
12-21-2022-22-27-42.288,3, 0.3804849,0.032677,15084, Foreign,
12-21-2022-22-27-41.585,3, 1.1143669,0.034184,6348, Foreign,
12-21-2022-22-27-42.188,3, 0.5341486,0.040855,15084, Foreign,
12-21-2022-22-27-42.389,3, 0.4231882,0.036635,15084, Foreign,
12-21-2022-22-27-42.792,3, 0.1288056,0.046095,15084, Foreign,
12-21-2022-22-27-41.987,3, 0.9620938,0.053656,15084, Foreign,
12-21-2022-22-27-42.692,3, 0.4404917,0.034684,15084, Foreign,
12-21-2022-22-27-43.193,3, 0.1170612,0.039019,15084, Foreign,
12-21-2022-22-27-43.092,3, 0.3886738,0.039575,15084, Foreign,
12-21-2022-22-27-42.088,3, 1.413127,0.045263,6348, Foreign,
12-21-2022-22-27-42.992,3, 0.5196053,0.040726,15084, Foreign,
12-21-2022-22-27-42.491,3, 1.1376568,0.045419,6348, Foreign,
12-21-2022-22-27-43.293,3, 0.390935,0.033593,15084, Foreign,
12-21-2022-22-27-43.694,3, 0.1149222,0.037617,15084, Foreign,
12-21-2022-22-27-43.794,3, 0.1035797,0.033421,15084, Foreign,
12-21-2022-22-27-43.494,3, 0.4446994,0.043577,15084, Foreign,
12-21-2022-22-27-43.594,3, 0.5164899,0.041768,15084, Foreign,
12-21-2022-22-27-43.895,3, 0.3958982,0.036246,15084, Foreign,
12-21-2022-22-27-44.096,3, 0.2008982,0.044154,15084, Foreign,
12-21-2022-22-27-42.892,3, 1.4142321,0.037075,6348, Foreign,
12-21-2022-22-27-43.996,3, 0.4053173,0.039943,15084, Foreign,
12-21-2022-22-27-44.298,3, 0.17459,0.042677,15084, Foreign,
12-21-2022-22-27-42.591,3, 1.9303663,0.031843,15084, Foreign,
12-21-2022-22-27-44.499,3, 0.1107882,0.034379,15084, Foreign,
12-21-2022-22-27-44.197,3, 0.438802,0.04721,15084, Foreign,
12-21-2022-22-27-44.901,3, 0.1230662,0.039966,15084, Foreign,
12-21-2022-22-27-45.003,3, 0.1134797,0.037875,15084, Foreign,
12-21-2022-22-27-45.204,3, 0.1274544,0.037423,15084, Foreign,
12-21-2022-22-27-45.404,3, 0.118084,0.035141,15084, Foreign,
12-21-2022-22-27-45.103,3, 0.42543,0.034632,15084, Foreign,
12-21-2022-22-27-45.505,3, 0.1232413,0.038113,15084, Foreign,
12-21-2022-22-27-45.606,3, 0.133597,0.04406,15084, Foreign,
12-21-2022-22-27-44.599,3, 1.1917133,0.042464,6348, Foreign,
12-21-2022-22-27-44.398,3, 1.4274251,0.036839,6348, Foreign,
12-21-2022-22-27-45.707,3, 0.1300218,0.043161,15084, Foreign,
12-21-2022-22-27-45.807,3, 0.1197114,0.038593,15084, Foreign,
12-21-2022-22-27-46.008,3, 0.0904352,0.029511,15084, Foreign,
12-21-2022-22-27-46.312,3, 0.1325223,0.041806,15084, Foreign,
12-21-2022-22-27-45.304,3, 1.1727596,0.041448,6348, Foreign,
12-21-2022-22-27-46.111,3, 0.3690722,0.028908,15084, Foreign,
12-21-2022-22-27-46.212,3, 0.3878522,0.034528,15084, Foreign,
12-21-2022-22-27-44.699,3, 2.0067919,0.03968,6348, Foreign,
12-21-2022-22-27-46.614,3, 0.0929962,0.030528,15084, Foreign,
12-21-2022-22-27-46.915,3, 0.2170716,0.027169,15084, Foreign,
12-21-2022-22-27-46.715,3, 0.4603035,0.034808,15084, Foreign,
12-21-2022-22-27-47.220,3, 0.1299598,0.027651,15084, Foreign,
12-21-2022-22-27-46.514,3, 1.0153274,0.03804,15084, Foreign,
12-21-2022-22-27-46.413,3, 1.1378348,0.038993,6348, Foreign,
12-21-2022-22-27-47.621,3, 0.3689333,0.029218,15084, Foreign,
12-21-2022-22-27-47.119,3, 0.8809435,0.032994,15084, Foreign,
12-21-2022-22-27-44.800,3, 3.2085957,0.02776,6348, Foreign,
12-21-2022-22-27-47.822,3, 0.1941157,0.031062,15084, Foreign,
12-21-2022-22-27-47.015,3, 1.1950505,0.03709,6348, Foreign,
12-21-2022-22-27-48.224,3, 0.0959308,0.028625,15084, Foreign,
12-21-2022-22-27-47.722,3, 0.7021531,0.028421,15084, Foreign,
12-21-2022-22-27-48.324,3, 0.1157754,0.036886,15084, Foreign,
12-21-2022-22-27-48.023,3, 0.4228662,0.037727,15115, Foreign,
12-21-2022-22-27-47.521,3, 0.9993007,0.030459,15084, Foreign,
12-21-2022-22-27-48.424,3, 0.1263191,0.041091,15084, Foreign,
12-21-2022-22-27-48.123,3, 0.480456,0.043726,15084, Foreign,
12-21-2022-22-27-48.524,3, 0.1517825,0.05364,15084, Foreign,
12-21-2022-22-27-47.321,3, 1.4753947,0.039516,6348, Foreign,
12-21-2022-22-27-47.421,3, 1.4958429,0.040539,6348, Foreign,
12-21-2022-22-27-45.907,3, 3.0578236,0.085835,6348, Foreign,
12-21-2022-22-27-48.825,3, 0.1771026,0.040564,15084, Foreign,
12-21-2022-22-27-48.625,3, 0.3890862,0.044213,15084, Foreign,
12-21-2022-22-27-48.927,3, 0.1185577,0.036824,15084, Foreign,
12-21-2022-22-27-46.815,3, 2.257748,0.033669,15084, Foreign,
12-21-2022-22-27-47.923,3, 1.2052959,0.038315,6348, Foreign,
12-21-2022-22-27-49.027,3, 0.1305781,0.039743,15084, Foreign,
12-21-2022-22-27-49.330,3, 0.1092812,0.034767,15084, Foreign,
12-21-2022-22-27-48.725,3, 0.8184419,0.046087,15084, Foreign,
12-21-2022-22-27-49.432,3, 0.1261791,0.037152,15084, Foreign,
12-21-2022-22-27-49.532,3, 0.1738686,0.035351,15084, Foreign,
12-21-2022-22-27-49.228,3, 0.5077926,0.056505,15084, Foreign,
12-21-2022-22-27-49.633,3, 0.1189801,0.036922,15084, Foreign,
12-21-2022-22-27-49.734,3, 0.1203357,0.038865,15084, Foreign,
12-21-2022-22-27-49.935,3, 0.1490941,0.049322,15084, Foreign,
12-21-2022-22-27-50.236,3, 0.13593,0.044095,15084, Foreign,
12-21-2022-22-27-50.136,3, 0.4223959,0.040877,15084, Foreign,
12-21-2022-22-27-50.437,3, 0.1315625,0.044671,15084, Foreign,
