Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-13.144,3, 0.0982451,0.032985,15084, Foreign,
12-21-2022-22-27-13.246,3, 0.1074007,0.034182,15084, Foreign,
12-21-2022-22-27-13.347,3, 0.1008083,0.034146,15084, Foreign,
12-21-2022-22-27-13.447,3, 0.1008856,0.031787,15084, Foreign,
12-21-2022-22-27-13.042,3, 0.7594427,0.034272,15084, Foreign,
12-21-2022-22-27-13.757,3, 0.1035269,0.03001,15084, Foreign,
12-21-2022-22-27-13.548,3, 0.3690167,0.029859,15084, Foreign,
12-21-2022-22-27-13.960,3, 0.1915152,0.030959,15084, Foreign,
12-21-2022-22-27-14.167,3, 0.0849564,0.029512,15084, Foreign,
12-21-2022-22-27-14.472,3, 0.0963789,0.033648,15084, Foreign,
12-21-2022-22-27-14.573,3, 0.0969245,0.032166,15084, Foreign,
12-21-2022-22-27-14.267,3, 0.4124594,0.036857,15084, Foreign,
12-21-2022-22-27-13.858,3, 0.8535906,0.03157,15084, Foreign,
12-21-2022-22-27-14.368,3, 0.3821068,0.032228,15084, Foreign,
12-21-2022-22-27-14.673,3, 0.0865155,0.029631,15084, Foreign,
12-21-2022-22-27-14.773,3, 0.0874627,0.024404,15084, Foreign,
12-21-2022-22-27-14.873,3, 0.0923923,0.027412,15084, Foreign,
12-21-2022-22-27-14.974,3, 0.1155781,0.036646,15084, Foreign,
12-21-2022-22-27-14.061,3, 1.1194275,0.047811,6348, Foreign,
12-21-2022-22-27-15.074,3, 0.1117548,0.034931,15084, Foreign,
12-21-2022-22-27-15.176,3, 0.1229634,0.038305,15084, Foreign,
12-21-2022-22-27-13.651,3, 1.8370355,0.031391,15084, Foreign,
12-21-2022-22-27-15.493,3, 0.1419936,0.044613,15084, Foreign,
12-21-2022-22-27-15.291,3, 0.3685023,0.02944,15084, Foreign,
12-21-2022-22-27-15.998,3, 0.1715665,0.035246,15084, Foreign,
12-21-2022-22-27-16.209,3, 0.0892778,0.035418,15084, Foreign,
12-21-2022-22-27-15.694,3, 0.6427245,0.038625,15084, Foreign,
12-21-2022-22-27-15.391,3, 1.1227367,0.040317,6348, Foreign,
12-21-2022-22-27-16.410,3, 0.115385,0.03832,15084, Foreign,
12-21-2022-22-27-16.511,3, 0.1049066,0.033705,15084, Foreign,
12-21-2022-22-27-16.611,3, 0.1119097,0.035724,15084, Foreign,
12-21-2022-22-27-16.714,3, 0.1096532,0.036829,15084, Foreign,
12-21-2022-22-27-15.796,3, 1.1185812,0.040661,6348, Foreign,
