Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-08.229,1, 0.0279654,0.032255,1170432, SelfUp,
12-21-2022-22-27-08.129,1, 0.1355644,0.02267,138476, SelfDown,
12-21-2022-22-27-08.229,1, 0.0377804,0.023062,138590, SelfDown,
12-21-2022-22-27-08.331,1, 0.0651955,0.035006,1170432, SelfUp,
12-21-2022-22-27-08.433,1, 0.0381281,0.036545,1170432, SelfUp,
12-21-2022-22-27-08.331,1, 0.1562848,0.035434,140975, SelfDown,
12-21-2022-22-27-08.433,1, 0.0951208,0.034657,140985, SelfDown,
12-21-2022-22-27-08.533,1, 0.0435658,0.028872,1170432, SelfUp,
12-21-2022-22-27-08.637,1, 0.0356638,0.03519,1170432, SelfUp,
12-21-2022-22-27-08.533,1, 0.1706133,0.031661,100360, SelfDown,
12-21-2022-22-27-08.637,1, 0.0896845,0.031661,100360, SelfDown,
12-21-2022-22-27-08.737,1, 0.033924,0.034163,1170432, SelfUp,
12-21-2022-22-27-08.737,1, 0.1546679,0.035313,103537, SelfDown,
12-21-2022-22-27-08.838,1, 0.0551617,0.035313,103537, SelfDown,
12-21-2022-22-27-08.838,1, 0.0619926,0.035079,1170432, SelfUp,
12-21-2022-22-27-08.938,1, 0.036666,0.035586,1170432, SelfUp,
12-21-2022-22-27-09.049,1, 0.0353817,0.037124,1170432, SelfUp,
12-21-2022-22-27-08.938,1, 0.1619054,0.035464,106091, SelfDown,
12-21-2022-22-27-09.049,1, 0.0526416,0.035464,106091, SelfDown,
12-21-2022-22-27-09.149,1, 0.0655552,0.034697,1170432, SelfUp,
12-21-2022-22-27-09.250,1, 0.03533,0.035975,1170432, SelfUp,
12-21-2022-22-27-09.149,1, 0.1639262,0.03642,109216, SelfDown,
12-21-2022-22-27-09.350,1, 0.0340053,0.038223,1170432, SelfUp,
12-21-2022-22-27-09.250,1, 0.2417544,0.036095,111005, SelfDown,
12-21-2022-22-27-09.350,1, 0.1447324,0.036095,111005, SelfDown,
12-21-2022-22-27-09.464,1, 0.0740484,0.037001,1170432, SelfUp,
12-21-2022-22-27-09.464,1, 0.1392355,0.035803,113384, SelfDown,
12-21-2022-22-27-09.566,1, 0.0990186,0.033845,115441, SelfDown,
12-21-2022-22-27-09.667,1, 0.0972315,0.036195,119577, SelfDown,
12-21-2022-22-27-09.566,1, 0.318005,0.039986,1170432, SelfUp,
12-21-2022-22-27-09.667,1, 0.2483188,0.039323,1170432, SelfUp,
12-21-2022-22-27-09.769,1, 0.1463873,0.039323,1170432, SelfUp,
12-21-2022-22-27-09.876,1, 0.0392944,0.039323,1170432, SelfUp,
12-21-2022-22-27-09.769,1, 0.158421,0.03509,122984, SelfDown,
12-21-2022-22-27-09.876,1, 0.0683166,0.03509,122984, SelfDown,
12-21-2022-22-27-09.977,1, 0.0402153,0.036935,1170432, SelfUp,
12-21-2022-22-27-10.084,1, 0.0636062,0.035954,1170432, SelfUp,
12-21-2022-22-27-09.977,1, 0.2212324,0.035838,132628, SelfDown,
12-21-2022-22-27-10.084,1, 0.1654699,0.036287,133616, SelfDown,
12-21-2022-22-27-10.288,1, 0.0485316,0.035565,1170432, SelfUp,
12-21-2022-22-27-10.186,1, 0.1506222,0.035565,1170432, SelfUp,
12-21-2022-22-27-10.186,1, 0.17736,0.034192,137347, SelfDown,
12-21-2022-22-27-10.388,1, 0.0367383,0.034228,1170432, SelfUp,
12-21-2022-22-27-10.288,1, 0.1606306,0.03298,140566, SelfDown,
12-21-2022-22-27-10.388,1, 0.0646647,0.03298,140566, SelfDown,
12-21-2022-22-27-10.488,1, 0.0348562,0.031355,1170432, SelfUp,
12-21-2022-22-27-10.488,1, 0.1714844,0.033874,152886, SelfDown,
12-21-2022-22-27-10.590,1, 0.1556223,0.048359,1170432, SelfUp,
12-21-2022-22-27-10.590,1, 0.174996,0.035126,152899, SelfDown,
12-21-2022-22-27-10.704,1, 0.0743733,0.044715,1170432, SelfUp,
12-21-2022-22-27-10.805,1, 0.0334904,0.037598,1170432, SelfUp,
12-21-2022-22-27-10.704,1, 0.1638881,0.037429,152911, SelfDown,
12-21-2022-22-27-10.905,1, 0.0336471,0.034782,1170432, SelfUp,
12-21-2022-22-27-10.805,1, 0.1792457,0.033518,152989, SelfDown,
12-21-2022-22-27-10.905,1, 0.1288288,0.034759,156507, SelfDown,
12-21-2022-22-27-11.006,1, 0.0395183,0.035392,1170432, SelfUp,
12-21-2022-22-27-11.006,1, 0.0658458,0.027364,166579, SelfDown,
12-21-2022-22-27-11.108,1, 0.0630034,0.034211,1170432, SelfUp,
12-21-2022-22-27-11.108,1, 0.156164,0.027883,169475, SelfDown,
12-21-2022-22-27-11.208,1, 0.0675254,0.034304,1170432, SelfUp,
12-21-2022-22-27-11.208,1, 0.0698613,0.027883,169475, SelfDown,
12-21-2022-22-27-11.308,1, 0.0360944,0.03447,1170432, SelfUp,
12-21-2022-22-27-11.308,1, 0.1240615,0.033607,170328, SelfDown,
12-21-2022-22-27-11.408,1, 0.0286743,0.033204,1170432, SelfUp,
12-21-2022-22-27-11.408,1, 0.0425781,0.032986,170329, SelfDown,
12-21-2022-22-27-11.513,1, 0.2965634,0.038957,1170432, SelfUp,
12-21-2022-22-27-11.513,1, 0.3088815,0.03449,170366, SelfDown,
12-21-2022-22-27-11.614,1, 0.2177811,0.03449,170366, SelfDown,
12-21-2022-22-27-11.714,1, 0.1182076,0.03449,170366, SelfDown,
12-21-2022-22-27-11.714,1, 0.1264759,0.038957,1170432, SelfUp,
12-21-2022-22-27-11.614,1, 0.2270528,0.038957,1170432, SelfUp,
12-21-2022-22-27-11.815,1, 0.0277112,0.035635,1170432, SelfUp,
12-21-2022-22-27-11.815,1, 0.0283859,0.033684,171437, SelfDown,
12-21-2022-22-27-11.917,1, 0.1111456,0.036646,1170432, SelfUp,
12-21-2022-22-27-12.028,1, 0.0341648,0.034091,1170432, SelfUp,
12-21-2022-22-27-11.917,1, 0.1637682,0.038645,182216, SelfDown,
12-21-2022-22-27-12.028,1, 0.1028247,0.039468,182229, SelfDown,
12-21-2022-22-27-12.129,1, 0.039014,0.037658,1170432, SelfUp,
12-21-2022-22-27-12.231,1, 0.0361255,0.036396,1170432, SelfUp,
12-21-2022-22-27-12.129,1, 0.230038,0.038858,182271, SelfDown,
12-21-2022-22-27-12.332,1, 0.0386567,0.036032,1170432, SelfUp,
12-21-2022-22-27-12.231,1, 0.1608419,0.038899,182272, SelfDown,
12-21-2022-22-27-12.436,1, 0.031168,0.034195,1170432, SelfUp,
12-21-2022-22-27-12.332,1, 0.1467159,0.037428,182287, SelfDown,
12-21-2022-22-27-12.436,1, 0.1065593,0.035734,183748, SelfDown,
12-21-2022-22-27-12.536,1, 0.0748818,0.035097,1170432, SelfUp,
12-21-2022-22-27-12.536,1, 0.1257765,0.038172,183767, SelfDown,
12-21-2022-22-27-12.637,1, 0.0326468,0.034727,1170432, SelfUp,
12-21-2022-22-27-12.637,1, 0.110805,0.034098,188418, SelfDown,
12-21-2022-22-27-12.739,1, 0.0267674,0.032238,1170432, SelfUp,
12-21-2022-22-27-12.839,1, 0.0375992,0.03465,1170432, SelfUp,
12-21-2022-22-27-12.739,1, 0.1665074,0.034186,198468, SelfDown,
12-21-2022-22-27-12.940,1, 0.0360258,0.034016,1170432, SelfUp,
12-21-2022-22-27-12.839,1, 0.2312559,0.030789,204987, SelfDown,
12-21-2022-22-27-13.042,1, 0.0301799,0.031503,1170432, SelfUp,
12-21-2022-22-27-12.940,1, 0.1925242,0.032272,206273, SelfDown,
12-21-2022-22-27-13.144,1, 0.033708,0.034883,1170432, SelfUp,
12-21-2022-22-27-13.042,1, 0.1482078,0.03302,206275, SelfDown,
12-21-2022-22-27-13.144,1, 0.24728,0.034289,206306, SelfDown,
12-21-2022-22-27-13.246,1, 0.2095775,0.033328,206585, SelfDown,
12-21-2022-22-27-13.246,1, 0.3106585,0.038869,1170432, SelfUp,
12-21-2022-22-27-13.447,1, 0.1315587,0.037127,1170432, SelfUp,
12-21-2022-22-27-13.347,1, 0.231849,0.037127,1170432, SelfUp,
12-21-2022-22-27-13.548,1, 0.0306731,0.037127,1170432, SelfUp,
12-21-2022-22-27-13.347,1, 0.2627306,0.031394,217652, SelfDown,
12-21-2022-22-27-13.447,1, 0.1639551,0.031394,217652, SelfDown,
12-21-2022-22-27-13.548,1, 0.1167893,0.034089,218928, SelfDown,
12-21-2022-22-27-13.651,1, 0.0284196,0.034736,1170432, SelfUp,
12-21-2022-22-27-13.757,1, 0.0299403,0.030834,1170432, SelfUp,
12-21-2022-22-27-13.651,1, 0.1395529,0.034579,218942, SelfDown,
12-21-2022-22-27-13.858,1, 0.0607293,0.038845,1170432, SelfUp,
12-21-2022-22-27-13.757,1, 0.2128513,0.037836,218953, SelfDown,
12-21-2022-22-27-13.960,1, 0.0289549,0.034312,1170432, SelfUp,
12-21-2022-22-27-13.858,1, 0.1649403,0.037836,153267, SelfDown,
12-21-2022-22-27-13.960,1, 0.1096589,0.035964,153636, SelfDown,
12-21-2022-22-27-14.167,1, 0.0487611,0.034122,1170432, SelfUp,
12-21-2022-22-27-14.061,1, 0.1544741,0.034122,1170432, SelfUp,
12-21-2022-22-27-14.061,1, 0.2346871,0.033097,156868, SelfDown,
12-21-2022-22-27-14.167,1, 0.1314628,0.033097,156868, SelfDown,
12-21-2022-22-27-14.267,1, 0.033462,0.031885,1170432, SelfUp,
12-21-2022-22-27-14.267,1, 0.0378575,0.033713,157006, SelfDown,
12-21-2022-22-27-14.368,1, 0.0358619,0.033635,1170432, SelfUp,
12-21-2022-22-27-14.472,1, 0.0707329,0.031953,1170432, SelfUp,
12-21-2022-22-27-14.368,1, 0.1764931,0.034464,160195, SelfDown,
12-21-2022-22-27-14.573,1, 0.030864,0.0325,1170432, SelfUp,
12-21-2022-22-27-14.472,1, 0.138191,0.03379,161580, SelfDown,
12-21-2022-22-27-14.573,1, 0.1044359,0.033034,163128, SelfDown,
12-21-2022-22-27-14.673,1, 0.0315703,0.032314,1170432, SelfUp,
12-21-2022-22-27-14.773,1, 0.0262082,0.028015,1170432, SelfUp,
12-21-2022-22-27-14.873,1, 0.0272478,0.030561,1170432, SelfUp,
12-21-2022-22-27-14.673,1, 0.3010069,0.03224,166006, SelfDown,
12-21-2022-22-27-14.873,1, 0.132507,0.032987,166641, SelfDown,
12-21-2022-22-27-14.773,1, 0.2325237,0.032987,166641, SelfDown,
12-21-2022-22-27-14.974,1, 0.0401518,0.032404,1170432, SelfUp,
12-21-2022-22-27-14.974,1, 0.0545474,0.033795,167265, SelfDown,
12-21-2022-22-27-15.074,1, 0.0345575,0.033304,1170432, SelfUp,
12-21-2022-22-27-15.074,1, 0.0441853,0.036496,168909, SelfDown,
12-21-2022-22-27-15.176,1, 0.0378003,0.036792,1170432, SelfUp,
12-21-2022-22-27-15.176,1, 0.0533657,0.040991,171158, SelfDown,
