Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
12-21-2022-23-05-21.200,1.6863691806566874e+06, 1, 
12-21-2022-23-05-22.201,2.602631648619311e+06, 2, 
12-21-2022-23-05-23.201,3.4243419660891537e+06, 3, 
12-21-2022-23-05-24.202,3.831968372379766e+06, 4, 
12-21-2022-23-05-25.202,5.258534356876495e+06, 5, 
12-21-2022-23-05-26.202,4.783575432014506e+06, 6, 
12-21-2022-23-05-27.211,4.856521043880945e+06, 7, 
12-21-2022-23-05-28.213,4.448836929780532e+06, 8, 
12-21-2022-23-05-29.213,4.649139933107857e+06, 9, 
