Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., The underlying connection of the probe., 
12-21-2022-23-05-25.436,1, 0.1509729,0.034447,38387, SelfDown,2, 
12-21-2022-23-05-25.436,1, 0.1509729,0.034592,7643, SelfDown,4, 
12-21-2022-23-05-25.332,1, 0.2541827,0.033479,33619, SelfDown,3, 
12-21-2022-23-05-25.436,1, 0.1509729,0.033479,33619, SelfDown,3, 
12-21-2022-23-05-25.538,1, 0.0650656,0.043718,1170432, SelfUp,0, 
12-21-2022-23-05-25.538,1, 0.0754613,0.035427,49503, SelfDown,0, 
12-21-2022-23-05-25.538,1, 0.0780801,0.032499,8763, SelfDown,4, 
12-21-2022-23-05-25.538,1, 0.0807554,0.028113,57292, SelfDown,1, 
12-21-2022-23-05-25.538,1, 0.0837842,0.032202,38638, SelfDown,2, 
12-21-2022-23-05-25.538,1, 0.152499,0.034696,38653, SelfDown,3, 
12-21-2022-23-05-25.538,1, 0.155137,0.03524,18426, SelfDown,5, 
12-21-2022-23-05-25.638,1, 0.07537,0.035485,381274, SelfUp,3, 
12-21-2022-23-05-25.638,1, 0.07537,0.032435,422122, SelfUp,5, 
12-21-2022-23-05-25.749,1, 0.0377163,0.036775,384527, SelfUp,3, 
12-21-2022-23-05-25.749,1, 0.0377163,0.036272,518451, SelfUp,5, 
12-21-2022-23-05-25.638,1, 0.1746791,0.036204,53047, SelfDown,0, 
12-21-2022-23-05-25.638,1, 0.1959842,0.035946,19303, SelfDown,5, 
12-21-2022-23-05-25.638,1, 0.2086859,0.034238,46394, SelfDown,2, 
12-21-2022-23-05-25.638,1, 0.2096942,0.036755,59016, SelfDown,1, 
12-21-2022-23-05-25.749,1, 0.1018723,0.036755,59016, SelfDown,1, 
12-21-2022-23-05-25.638,1, 0.2134511,0.035434,11217, SelfDown,4, 
12-21-2022-23-05-25.638,1, 0.2170613,0.036083,41409, SelfDown,3, 
12-21-2022-23-05-25.749,1, 0.1081636,0.027823,57825, SelfDown,0, 
12-21-2022-23-05-25.749,1, 0.1091766,0.035434,11217, SelfDown,4, 
12-21-2022-23-05-25.749,1, 0.1103812,0.035946,19303, SelfDown,5, 
12-21-2022-23-05-25.749,1, 0.1121479,0.034238,46394, SelfDown,2, 
12-21-2022-23-05-25.749,1, 0.1351724,0.036083,41409, SelfDown,3, 
12-21-2022-23-05-25.849,1, 0.0366182,0.025173,60529, SelfDown,0, 
12-21-2022-23-05-25.849,1, 0.0375666,0.037332,386755, SelfUp,3, 
12-21-2022-23-05-25.849,1, 0.0828269,0.035617,65125, SelfDown,1, 
12-21-2022-23-05-25.849,1, 0.1252335,0.041381,622514, SelfUp,5, 
12-21-2022-23-05-25.638,1, 0.388216,0.04426,440135, SelfUp,4, 
12-21-2022-23-05-25.849,1, 0.1865967,0.03711,14231, SelfDown,4, 
12-21-2022-23-05-25.950,1, 0.0990202,0.041181,634162, SelfUp,5, 
12-21-2022-23-05-25.950,1, 0.1049318,0.037241,390681, SelfUp,3, 
12-21-2022-23-05-25.749,1, 0.3091603,0.04426,440135, SelfUp,4, 
12-21-2022-23-05-25.849,1, 0.2090452,0.04426,440135, SelfUp,4, 
12-21-2022-23-05-25.950,1, 0.1084039,0.04426,440135, SelfUp,4, 
12-21-2022-23-05-25.950,1, 0.1160181,0.036748,67009, SelfDown,1, 
12-21-2022-23-05-25.950,1, 0.1160181,0.034177,15631, SelfDown,4, 
12-21-2022-23-05-25.849,1, 0.2179121,0.035963,22457, SelfDown,5, 
12-21-2022-23-05-25.849,1, 0.2198075,0.037043,44532, SelfDown,3, 
12-21-2022-23-05-25.950,1, 0.1196692,0.034929,60547, SelfDown,0, 
12-21-2022-23-05-25.950,1, 0.1202279,0.035963,22457, SelfDown,5, 
12-21-2022-23-05-25.849,1, 0.2213731,0.036653,49087, SelfDown,2, 
12-21-2022-23-05-25.950,1, 0.1317146,0.036653,49087, SelfDown,2, 
12-21-2022-23-05-26.055,1, 0.0399333,0.033745,61729, SelfDown,0, 
12-21-2022-23-05-26.055,1, 0.0412099,0.040356,685217, SelfUp,5, 
12-21-2022-23-05-26.055,1, 0.0446649,0.038713,392181, SelfUp,3, 
12-21-2022-23-05-26.055,1, 0.0480333,0.04163,440963, SelfUp,4, 
12-21-2022-23-05-26.055,1, 0.1358533,0.037134,19378, SelfDown,4, 
12-21-2022-23-05-26.159,1, 0.0362586,0.037698,737024, SelfUp,5, 
12-21-2022-23-05-26.159,1, 0.0405639,0.037711,394174, SelfUp,3, 
12-21-2022-23-05-26.055,1, 0.1548723,0.038019,52393, SelfDown,2, 
12-21-2022-23-05-26.055,1, 0.1658893,0.038455,17343, SelfDown,5, 
12-21-2022-23-05-26.055,1, 0.1660683,0.043185,47914, SelfDown,1, 
12-21-2022-23-05-26.159,1, 0.0660426,0.041625,442049, SelfUp,4, 
12-21-2022-23-05-26.159,1, 0.0660426,0.035787,19975, SelfDown,4, 
12-21-2022-23-05-25.950,1, 0.2755352,0.038769,32450, SelfDown,3, 
12-21-2022-23-05-26.055,1, 0.1700937,0.038769,32450, SelfDown,3, 
12-21-2022-23-05-26.159,1, 0.0690965,0.036568,43227, SelfDown,0, 
12-21-2022-23-05-26.159,1, 0.128178,0.038295,47923, SelfDown,1, 
12-21-2022-23-05-26.260,1, 0.0323962,0.034531,738048, SelfUp,5, 
12-21-2022-23-05-26.260,1, 0.0365842,0.037583,397109, SelfUp,3, 
12-21-2022-23-05-26.260,1, 0.0376902,0.040761,443000, SelfUp,4, 
12-21-2022-23-05-26.159,1, 0.231879,0.037226,19454, SelfDown,5, 
12-21-2022-23-05-26.159,1, 0.232757,0.036705,55119, SelfDown,2, 
12-21-2022-23-05-26.362,1, 0.0327816,0.034993,738048, SelfUp,5, 
12-21-2022-23-05-26.260,1, 0.135788,0.033351,47937, SelfDown,1, 
12-21-2022-23-05-26.260,1, 0.1375349,0.036134,22709, SelfDown,4, 
12-21-2022-23-05-26.260,1, 0.1402794,0.036643,21540, SelfDown,5, 
12-21-2022-23-05-26.362,1, 0.0377842,0.0355,400760, SelfUp,3, 
12-21-2022-23-05-26.362,1, 0.0403186,0.037023,445176, SelfUp,4, 
12-21-2022-23-05-26.260,1, 0.1445096,0.036184,57220, SelfDown,2, 
12-21-2022-23-05-26.159,1, 0.245763,0.037923,32455, SelfDown,3, 
12-21-2022-23-05-26.362,1, 0.0447379,0.033412,47938, SelfDown,1, 
12-21-2022-23-05-26.260,1, 0.1608711,0.035899,43257, SelfDown,0, 
12-21-2022-23-05-26.362,1, 0.0593752,0.035899,43257, SelfDown,0, 
12-21-2022-23-05-26.362,1, 0.0668898,0.027598,25509, SelfDown,4, 
12-21-2022-23-05-25.638,1, 0.7916354,0.037501,1170432, SelfUp,1, 
12-21-2022-23-05-25.638,1, 0.8079188,0.039762,667500, SelfUp,2, 
12-21-2022-23-05-25.749,1, 0.7293471,0.039762,667500, SelfUp,2, 
12-21-2022-23-05-25.849,1, 0.629232,0.039762,667500, SelfUp,2, 
12-21-2022-23-05-26.159,1, 0.3199289,0.039762,667500, SelfUp,2, 
12-21-2022-23-05-26.362,1, 0.1161803,0.039762,667500, SelfUp,2, 
12-21-2022-23-05-26.260,1, 0.2186755,0.039762,667500, SelfUp,2, 
12-21-2022-23-05-26.055,1, 0.4236589,0.039762,667500, SelfUp,2, 
12-21-2022-23-05-25.950,1, 0.5285907,0.039762,667500, SelfUp,2, 
12-21-2022-23-05-25.749,1, 0.7608697,0.038327,1170432, SelfUp,1, 
12-21-2022-23-05-25.849,1, 0.6607546,0.038327,1170432, SelfUp,1, 
12-21-2022-23-05-25.950,1, 0.5601133,0.038327,1170432, SelfUp,1, 
12-21-2022-23-05-26.055,1, 0.4551815,0.038327,1170432, SelfUp,1, 
12-21-2022-23-05-26.362,1, 0.1477029,0.038327,1170432, SelfUp,1, 
12-21-2022-23-05-26.260,1, 0.2501981,0.038327,1170432, SelfUp,1, 
12-21-2022-23-05-26.159,1, 0.3514515,0.038327,1170432, SelfUp,1, 
12-21-2022-23-05-26.467,1, 0.0439663,0.040496,670166, SelfUp,2, 
12-21-2022-23-05-26.467,1, 0.0457518,0.034975,404747, SelfUp,3, 
12-21-2022-23-05-26.467,1, 0.0471157,0.036457,738048, SelfUp,5, 
12-21-2022-23-05-26.260,1, 0.2826767,0.036074,34735, SelfDown,3, 
12-21-2022-23-05-26.467,1, 0.0775277,0.037807,1170432, SelfUp,1, 
12-21-2022-23-05-26.362,1, 0.1938332,0.035926,24535, SelfDown,5, 
12-21-2022-23-05-26.570,1, 0.0315739,0.036336,679657, SelfUp,2, 
12-21-2022-23-05-26.570,1, 0.0315739,0.036567,1170432, SelfUp,1, 
12-21-2022-23-05-26.570,1, 0.0315739,0.036284,407061, SelfUp,3, 
12-21-2022-23-05-26.468,1, 0.1419884,0.035711,25996, SelfDown,5, 
12-21-2022-23-05-26.362,1, 0.2480461,0.034868,62126, SelfDown,2, 
12-21-2022-23-05-26.468,1, 0.1434996,0.033519,27333, SelfDown,4, 
12-21-2022-23-05-26.362,1, 0.2519933,0.035907,36544, SelfDown,3, 
12-21-2022-23-05-26.467,1, 0.1475007,0.039018,48007, SelfDown,1, 
12-21-2022-23-05-26.467,1, 0.1514813,0.036778,45448, SelfDown,0, 
12-21-2022-23-05-26.570,1, 0.0545077,0.039018,48007, SelfDown,1, 
12-21-2022-23-05-26.570,1, 0.0589277,0.039053,738048, SelfUp,5, 
12-21-2022-23-05-26.467,1, 0.161266,0.032395,447958, SelfUp,4, 
12-21-2022-23-05-26.570,1, 0.0589277,0.032395,447958, SelfUp,4, 
12-21-2022-23-05-26.570,1, 0.0594308,0.033519,27333, SelfDown,4, 
12-21-2022-23-05-26.467,1, 0.1627743,0.034868,62126, SelfDown,2, 
12-21-2022-23-05-26.570,1, 0.061062,0.036778,45448, SelfDown,0, 
12-21-2022-23-05-26.570,1, 0.0786082,0.033489,64396, SelfDown,2, 
12-21-2022-23-05-26.570,1, 0.0846088,0.032336,27541, SelfDown,5, 
12-21-2022-23-05-26.682,1, 0.0351123,0.040322,738048, SelfUp,5, 
12-21-2022-23-05-26.682,1, 0.0532031,0.043242,451302, SelfUp,4, 
12-21-2022-23-05-26.468,1, 0.2739941,0.037187,39005, SelfDown,3, 
12-21-2022-23-05-26.682,1, 0.0620473,0.039422,688789, SelfUp,2, 
12-21-2022-23-05-26.682,1, 0.0620473,0.035755,1170432, SelfUp,1, 
12-21-2022-23-05-26.682,1, 0.0640481,0.037789,408673, SelfUp,3, 
12-21-2022-23-05-26.570,1, 0.2046536,0.037187,39005, SelfDown,3, 
12-21-2022-23-05-26.682,1, 0.0941437,0.035794,64854, SelfDown,2, 
12-21-2022-23-05-26.682,1, 0.0951857,0.036138,31220, SelfDown,4, 
12-21-2022-23-05-26.682,1, 0.0958345,0.036593,29132, SelfDown,5, 
12-21-2022-23-05-26.682,1, 0.0998552,0.035328,49130, SelfDown,0, 
12-21-2022-23-05-26.682,1, 0.1411722,0.039481,36307, SelfDown,1, 
12-21-2022-23-05-26.783,1, 0.0422486,0.03839,1170432, SelfUp,1, 
12-21-2022-23-05-26.783,1, 0.0422486,0.039869,410077, SelfUp,3, 
12-21-2022-23-05-26.783,1, 0.0744208,0.043145,451596, SelfUp,4, 
12-21-2022-23-05-26.783,1, 0.0854729,0.039832,738048, SelfUp,5, 
12-21-2022-23-05-26.783,1, 0.0854729,0.037603,695701, SelfUp,2, 
12-21-2022-23-05-26.884,1, 0.0261404,0.038384,1170432, SelfUp,1, 
12-21-2022-23-05-26.884,1, 0.0282082,0.037403,738048, SelfUp,5, 
12-21-2022-23-05-26.884,1, 0.044387,0.043563,452207, SelfUp,4, 
12-21-2022-23-05-26.884,1, 0.046805,0.038514,699706, SelfUp,2, 
12-21-2022-23-05-26.783,1, 0.150384,0.037176,25416, SelfDown,1, 
12-21-2022-23-05-26.783,1, 0.151229,0.032853,34514, SelfDown,4, 
12-21-2022-23-05-26.783,1, 0.1642262,0.034329,53278, SelfDown,0, 
12-21-2022-23-05-26.682,1, 0.2684627,0.037585,43191, SelfDown,3, 
12-21-2022-23-05-26.884,1, 0.0710691,0.040092,411254, SelfUp,3, 
12-21-2022-23-05-26.783,1, 0.19147,0.034564,33944, SelfDown,5, 
12-21-2022-23-05-26.884,1, 0.0920532,0.034788,35564, SelfDown,4, 
12-21-2022-23-05-26.884,1, 0.0965636,0.033297,25427, SelfDown,1, 
12-21-2022-23-05-26.783,1, 0.2264655,0.033421,72563, SelfDown,2, 
12-21-2022-23-05-26.884,1, 0.1265933,0.033579,35541, SelfDown,5, 
12-21-2022-23-05-26.884,1, 0.1283647,0.036895,54208, SelfDown,0, 
12-21-2022-23-05-26.988,1, 0.0401067,0.034967,1170432, SelfUp,1, 
12-21-2022-23-05-26.988,1, 0.0401067,0.040884,412445, SelfUp,3, 
12-21-2022-23-05-26.884,1, 0.1492213,0.034221,72564, SelfDown,2, 
12-21-2022-23-05-26.988,1, 0.0718839,0.041143,453440, SelfUp,4, 
12-21-2022-23-05-26.988,1, 0.0718839,0.037592,738048, SelfUp,5, 
12-21-2022-23-05-26.988,1, 0.077722,0.039339,712548, SelfUp,2, 
12-21-2022-23-05-27.096,1, 0.027323,0.034807,1170432, SelfUp,1, 
12-21-2022-23-05-27.096,1, 0.027323,0.036528,738048, SelfUp,5, 
12-21-2022-23-05-27.096,1, 0.0294645,0.03756,716919, SelfUp,2, 
12-21-2022-23-05-27.096,1, 0.02997,0.037766,454413, SelfUp,4, 
12-21-2022-23-05-26.988,1, 0.1429267,0.035466,26376, SelfDown,1, 
12-21-2022-23-05-26.988,1, 0.1474294,0.030958,59446, SelfDown,0, 
12-21-2022-23-05-27.096,1, 0.0415176,0.035466,26376, SelfDown,1, 
12-21-2022-23-05-26.884,1, 0.2603354,0.035773,47685, SelfDown,3, 
12-21-2022-23-05-26.988,1, 0.1563162,0.033395,38088, SelfDown,4, 
12-21-2022-23-05-26.783,1, 0.3615415,0.035773,47685, SelfDown,3, 
12-21-2022-23-05-26.988,1, 0.1604122,0.033555,38111, SelfDown,5, 
12-21-2022-23-05-26.988,1, 0.1609161,0.032515,76560, SelfDown,2, 
12-21-2022-23-05-27.096,1, 0.0569463,0.030958,59446, SelfDown,0, 
12-21-2022-23-05-27.096,1, 0.0569463,0.038062,413629, SelfUp,3, 
12-21-2022-23-05-27.096,1, 0.058114,0.033555,38111, SelfDown,5, 
12-21-2022-23-05-26.988,1, 0.1716943,0.035773,47685, SelfDown,3, 
12-21-2022-23-05-27.096,1, 0.0644935,0.033395,38088, SelfDown,4, 
12-21-2022-23-05-27.201,1, 0.0330522,0.033289,724873, SelfUp,2, 
12-21-2022-23-05-27.201,1, 0.0343076,0.032796,1170432, SelfUp,1, 
12-21-2022-23-05-27.096,1, 0.1451457,0.035959,49699, SelfDown,3, 
12-21-2022-23-05-27.201,1, 0.0801951,0.034045,458241, SelfUp,4, 
12-21-2022-23-05-27.096,1, 0.2086677,0.035439,77625, SelfDown,2, 
12-21-2022-23-05-27.201,1, 0.1232966,0.034313,30514, SelfDown,1, 
12-21-2022-23-05-27.302,1, 0.023469,0.048169,732360, SelfUp,2, 
12-21-2022-23-05-27.302,1, 0.0382793,0.034847,459563, SelfUp,4, 
12-21-2022-23-05-27.302,1, 0.064306,0.037108,1170432, SelfUp,1, 
12-21-2022-23-05-27.302,1, 0.100043,0.036475,31824, SelfDown,1, 
12-21-2022-23-05-27.201,1, 0.2081543,0.03498,78780, SelfDown,2, 
12-21-2022-23-05-26.362,1, 0.1124572,0.039877,6762, SelfDown,6, 
12-21-2022-23-05-27.302,1, 0.1124572,0.039877,6762, SelfDown,6, 
12-21-2022-23-05-26.682,1, 0.1124572,0.039877,6762, SelfDown,6, 
12-21-2022-23-05-26.988,1, 0.1124572,0.039877,6762, SelfDown,6, 
12-21-2022-23-05-26.467,1, 0.1124572,0.039877,6762, SelfDown,6, 
12-21-2022-23-05-26.884,1, 0.1124572,0.039877,6762, SelfDown,6, 
12-21-2022-23-05-27.201,1, 0.2211319,0.036024,42572, SelfDown,4, 
12-21-2022-23-05-27.302,1, 0.1209384,0.036024,42572, SelfDown,4, 
12-21-2022-23-05-27.201,1, 0.2211319,0.035385,41391, SelfDown,5, 
12-21-2022-23-05-27.302,1, 0.1235893,0.035385,41391, SelfDown,5, 
12-21-2022-23-05-27.402,1, 0.0383117,0.037124,737792, SelfUp,2, 
12-21-2022-23-05-27.201,1, 0.2505386,0.038991,60373, SelfDown,0, 
12-21-2022-23-05-27.302,1, 0.1503451,0.038991,60373, SelfDown,0, 
12-21-2022-23-05-27.402,1, 0.0828582,0.039602,114132, SelfUp,7, 
12-21-2022-23-05-27.201,1, 0.2998092,0.048957,414852, SelfUp,3, 
12-21-2022-23-05-27.201,1, 0.3008106,0.047962,738048, SelfUp,5, 
12-21-2022-23-05-26.570,1, 0.1991303,0.038283,6939, SelfDown,6, 
12-21-2022-23-05-27.201,1, 0.1991303,0.038283,6939, SelfDown,6, 
12-21-2022-23-05-26.783,1, 0.1991303,0.038283,6939, SelfDown,6, 
12-21-2022-23-05-27.096,1, 0.1991303,0.038283,6939, SelfDown,6, 
12-21-2022-23-05-27.302,1, 0.2089616,0.03375,83483, SelfDown,2, 
12-21-2022-23-05-27.402,1, 0.1089186,0.032168,47315, SelfDown,5, 
12-21-2022-23-05-27.201,1, 0.3136343,0.036485,53850, SelfDown,3, 
12-21-2022-23-05-27.302,1, 0.2134408,0.036485,53850, SelfDown,3, 
12-21-2022-23-05-27.402,1, 0.1152259,0.03234,35823, SelfDown,1, 
12-21-2022-23-05-27.402,1, 0.1157311,0.033655,45339, SelfDown,4, 
12-21-2022-23-05-27.402,1, 0.1345298,0.047156,415105, SelfUp,3, 
12-21-2022-23-05-27.302,1, 0.2345728,0.047156,415105, SelfUp,3, 
12-21-2022-23-05-27.302,1, 0.2363192,0.047962,738048, SelfUp,5, 
12-21-2022-23-05-27.402,1, 0.1362762,0.047962,738048, SelfUp,5, 
12-21-2022-23-05-27.502,1, 0.0357021,0.040174,416848, SelfUp,3, 
12-21-2022-23-05-27.502,1, 0.0372192,0.036321,163511, SelfUp,7, 
12-21-2022-23-05-27.502,1, 0.0387312,0.043043,738048, SelfUp,5, 
12-21-2022-23-05-27.402,1, 0.1667594,0.035136,66230, SelfDown,0, 
12-21-2022-23-05-27.502,1, 0.0736569,0.034995,737792, SelfUp,2, 
12-21-2022-23-05-27.402,1, 0.174231,0.034799,1170432, SelfUp,1, 
12-21-2022-23-05-27.502,1, 0.0736569,0.034799,1170432, SelfUp,1, 
12-21-2022-23-05-27.402,1, 0.1919118,0.034472,83485, SelfDown,2, 
12-21-2022-23-05-27.502,1, 0.0931591,0.036376,36170, SelfDown,1, 
12-21-2022-23-05-27.402,1, 0.2094554,0.036898,55769, SelfDown,3, 
12-21-2022-23-05-27.402,1, 0.2131821,0.038518,7536, SelfDown,6, 
12-21-2022-23-05-27.502,1, 0.1193372,0.038717,66236, SelfDown,0, 
12-21-2022-23-05-27.602,1, 0.0395408,0.041778,1170432, SelfUp,1, 
12-21-2022-23-05-27.602,1, 0.0395408,0.044563,738048, SelfUp,5, 
12-21-2022-23-05-27.402,1, 0.2412966,0.038884,15869, SelfDown,7, 
12-21-2022-23-05-27.502,1, 0.1445341,0.037205,47443, SelfDown,4, 
12-21-2022-23-05-27.502,1, 0.1446016,0.034373,48680, SelfDown,5, 
12-21-2022-23-05-27.602,1, 0.0699122,0.039853,418556, SelfUp,3, 
12-21-2022-23-05-27.602,1, 0.0884939,0.035573,68315, SelfDown,0, 
12-21-2022-23-05-27.503,1, 0.207485,0.036574,8483, SelfDown,6, 
12-21-2022-23-05-27.602,1, 0.1083925,0.036574,8483, SelfDown,6, 
12-21-2022-23-05-27.502,1, 0.2256317,0.036748,16149, SelfDown,7, 
12-21-2022-23-05-27.602,1, 0.1273261,0.036748,16149, SelfDown,7, 
12-21-2022-23-05-27.706,1, 0.0551198,0.036546,738048, SelfUp,5, 
12-21-2022-23-05-27.602,1, 0.1585047,0.049807,232919, SelfUp,7, 
12-21-2022-23-05-27.602,1, 0.1655053,0.035628,50840, SelfDown,4, 
12-21-2022-23-05-27.602,1, 0.1655053,0.032899,52467, SelfDown,5, 
12-21-2022-23-05-27.502,1, 0.2666866,0.035164,84480, SelfDown,2, 
12-21-2022-23-05-27.602,1, 0.1845145,0.034579,27082, SelfDown,1, 
12-21-2022-23-05-27.706,1, 0.0820538,0.034579,27082, SelfDown,1, 
12-21-2022-23-05-27.706,1, 0.1109127,0.040111,17446, SelfDown,7, 
12-21-2022-23-05-27.706,1, 0.1129965,0.036481,1170432, SelfUp,1, 
12-21-2022-23-05-27.402,1, 0.418679,0.049235,461624, SelfUp,4, 
12-21-2022-23-05-27.502,1, 0.3181049,0.049235,461624, SelfUp,4, 
12-21-2022-23-05-27.813,1, 0.0297045,0.043599,738048, SelfUp,5, 
12-21-2022-23-05-27.706,1, 0.1382968,0.048536,293943, SelfUp,7, 
12-21-2022-23-05-27.813,1, 0.0308035,0.048536,293943, SelfUp,7, 
12-21-2022-23-05-27.813,1, 0.0370033,0.036516,1170432, SelfUp,1, 
12-21-2022-23-05-27.602,1, 0.251931,0.045208,462376, SelfUp,4, 
12-21-2022-23-05-27.706,1, 0.1485461,0.045208,462376, SelfUp,4, 
12-21-2022-23-05-27.813,1, 0.0410528,0.045208,462376, SelfUp,4, 
12-21-2022-23-05-27.706,1, 0.1712453,0.036173,9467, SelfDown,6, 
12-21-2022-23-05-27.503,1, 0.3752254,0.03623,61754, SelfDown,3, 
12-21-2022-23-05-27.602,1, 0.2756294,0.03623,61754, SelfDown,3, 
12-21-2022-23-05-27.602,1, 0.2756294,0.036017,86631, SelfDown,2, 
12-21-2022-23-05-27.706,1, 0.173245,0.034439,53004, SelfDown,5, 
12-21-2022-23-05-27.706,1, 0.1752462,0.037683,51787, SelfDown,4, 
12-21-2022-23-05-27.813,1, 0.0687534,0.034788,29349, SelfDown,1, 
12-21-2022-23-05-27.706,1, 0.1792444,0.038331,77540, SelfDown,0, 
12-21-2022-23-05-27.706,1, 0.1802452,0.036017,86631, SelfDown,2, 
12-21-2022-23-05-27.813,1, 0.0747532,0.035128,420728, SelfUp,3, 
12-21-2022-23-05-27.706,1, 0.1822465,0.035128,420728, SelfUp,3, 
12-21-2022-23-05-27.813,1, 0.0757532,0.034439,53004, SelfDown,5, 
12-21-2022-23-05-27.813,1, 0.0757532,0.038276,18463, SelfDown,7, 
12-21-2022-23-05-27.813,1, 0.0797507,0.037683,51787, SelfDown,4, 
12-21-2022-23-05-27.602,1, 0.3288888,0.041745,737792, SelfUp,2, 
12-21-2022-23-05-27.914,1, 0.0336813,0.038276,738048, SelfUp,5, 
12-21-2022-23-05-27.914,1, 0.0346829,0.040464,395802, SelfUp,7, 
12-21-2022-23-05-27.914,1, 0.0405622,0.038366,1170432, SelfUp,1, 
12-21-2022-23-05-27.706,1, 0.258906,0.040788,737792, SelfUp,2, 
12-21-2022-23-05-27.813,1, 0.1524101,0.040788,737792, SelfUp,2, 
12-21-2022-23-05-27.914,1, 0.0516592,0.040788,737792, SelfUp,2, 
12-21-2022-23-05-27.813,1, 0.1865332,0.038677,87552, SelfDown,2, 
12-21-2022-23-05-27.914,1, 0.0924088,0.037202,421698, SelfUp,3, 
12-21-2022-23-05-27.914,1, 0.0970957,0.038286,471063, SelfUp,4, 
12-21-2022-23-05-27.813,1, 0.1991862,0.041287,77564, SelfDown,0, 
12-21-2022-23-05-27.706,1, 0.3224106,0.037334,63818, SelfDown,3, 
12-21-2022-23-05-27.914,1, 0.1214519,0.038029,22560, SelfDown,7, 
12-21-2022-23-05-28.014,1, 0.0461909,0.039925,1170432, SelfUp,1, 
12-21-2022-23-05-28.014,1, 0.0461909,0.037754,737792, SelfUp,2, 
12-21-2022-23-05-28.014,1, 0.0461909,0.038365,536322, SelfUp,7, 
12-21-2022-23-05-28.014,1, 0.0467063,0.037217,738048, SelfUp,5, 
12-21-2022-23-05-27.813,1, 0.2522254,0.039094,63819, SelfDown,3, 
12-21-2022-23-05-28.014,1, 0.0547003,0.042065,473189, SelfUp,4, 
12-21-2022-23-05-27.914,1, 0.2003659,0.038435,9071, SelfDown,6, 
12-21-2022-23-05-27.813,1, 0.3011168,0.038435,9071, SelfDown,6, 
12-21-2022-23-05-28.114,1, 0.0358667,0.042358,476333, SelfUp,4, 
12-21-2022-23-05-27.914,1, 0.2760101,0.038084,56168, SelfDown,4, 
12-21-2022-23-05-27.914,1, 0.2798481,0.038609,21950, SelfDown,1, 
12-21-2022-23-05-27.914,1, 0.2995294,0.040582,77580, SelfDown,0, 
12-21-2022-23-05-28.014,1, 0.2002472,0.040582,77580, SelfDown,0, 
12-21-2022-23-05-28.014,1, 0.2026229,0.040075,30964, SelfDown,7, 
12-21-2022-23-05-27.914,1, 0.3062994,0.039196,54042, SelfDown,5, 
12-21-2022-23-05-28.014,1, 0.2080156,0.036331,57708, SelfDown,4, 
12-21-2022-23-05-27.914,1, 0.3093002,0.038684,87552, SelfDown,2, 
12-21-2022-23-05-28.014,1, 0.2090135,0.039196,54042, SelfDown,5, 
12-21-2022-23-05-28.114,1, 0.1104125,0.040075,30964, SelfDown,7, 
12-21-2022-23-05-28.014,1, 0.2192325,0.038684,87552, SelfDown,2, 
12-21-2022-23-05-28.014,1, 0.2214059,0.035725,23839, SelfDown,1, 
12-21-2022-23-05-27.914,1, 0.3224645,0.038909,65520, SelfDown,3, 
12-21-2022-23-05-28.114,1, 0.1311515,0.040582,77580, SelfDown,0, 
12-21-2022-23-05-28.114,1, 0.1316683,0.036331,57708, SelfDown,4, 
12-21-2022-23-05-28.114,1, 0.1323524,0.039196,54042, SelfDown,5, 
12-21-2022-23-05-28.114,1, 0.1524808,0.037803,738048, SelfUp,5, 
12-21-2022-23-05-28.215,1, 0.0533255,0.037944,623528, SelfUp,7, 
12-21-2022-23-05-28.114,1, 0.1534935,0.037944,623528, SelfUp,7, 
12-21-2022-23-05-28.215,1, 0.0850854,0.037803,738048, SelfUp,5, 
12-21-2022-23-05-28.215,1, 0.1001706,0.037985,480816, SelfUp,4, 
12-21-2022-23-05-28.215,1, 0.1123123,0.038497,44791, SelfDown,7, 
12-21-2022-23-05-28.114,1, 0.2152096,0.037558,24849, SelfDown,1, 
12-21-2022-23-05-28.215,1, 0.1161866,0.037558,24849, SelfDown,1, 
12-21-2022-23-05-28.315,1, 0.0233421,0.032911,738048, SelfUp,5, 
12-21-2022-23-05-28.014,1, 0.3330835,0.035499,14851, SelfDown,6, 
12-21-2022-23-05-28.114,1, 0.2330043,0.035499,14851, SelfDown,6, 
12-21-2022-23-05-28.114,1, 0.2347873,0.036102,65520, SelfDown,3, 
12-21-2022-23-05-28.014,1, 0.3348665,0.036102,65520, SelfDown,3, 
12-21-2022-23-05-28.114,1, 0.2347873,0.03606,90368, SelfDown,2, 
12-21-2022-23-05-28.114,1, 0.2595175,0.0466,1170432, SelfUp,1, 
12-21-2022-23-05-28.215,1, 0.1593495,0.0466,1170432, SelfUp,1, 
12-21-2022-23-05-28.315,1, 0.0591789,0.040168,684195, SelfUp,7, 
12-21-2022-23-05-28.315,1, 0.0591789,0.0466,1170432, SelfUp,1, 
12-21-2022-23-05-28.215,1, 0.1939844,0.036149,90368, SelfDown,2, 
12-21-2022-23-05-28.215,1, 0.194985,0.036456,61912, SelfDown,5, 
12-21-2022-23-05-28.215,1, 0.2032278,0.034098,83391, SelfDown,0, 
12-21-2022-23-05-28.416,1, 0.0364715,0.040972,728759, SelfUp,7, 
12-21-2022-23-05-28.416,1, 0.0370909,0.040669,1170432, SelfUp,1, 
