Time of the generation of the data point., Instantaneous throughput (B/s)., Number of parallel connections., 
12-21-2022-23-05-21.200,5.4254849648456566e+07, 1, 
12-21-2022-23-05-22.201,5.583914119035763e+07, 2, 
12-21-2022-23-05-23.201,6.5890128009242736e+07, 3, 
12-21-2022-23-05-24.201,6.79587558629039e+07, 4, 
12-21-2022-23-05-25.202,6.705552867722612e+07, 5, 
12-21-2022-23-05-26.202,6.736456765923098e+07, 6, 
12-21-2022-23-05-27.211,7.20060425758115e+07, 7, 
12-21-2022-23-05-28.213,5.447830252004871e+07, 8, 
12-21-2022-23-05-29.213,7.54953540155501e+07, 9, 
